idx,algo,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword
133,multipartiterank,natural fires,owen dell,plant zones,fire,landscaping,garden,plant,dell,canyons,zone,properties,santa barbara landscape contractor,house,homes,firescaping,chaparral interface,wildfire,homeowners,flammable,others
133,label,fire-resistant landscaping,fire-retardant succulents,maximum fire protection,fire-resistant plants,firescape garden,southern californians,wildfire,firescaping,four plant zones,ice plant,firescapes demonstration garden,,,,,,,,,
134,multipartiterank,a-10,plane,second crash,dan howard,air force,pentagon,thunderbolt jet,pilot,crash,aircraft,low speeds,howard,81st tactical fighter wing,raf bentwaters,chief spokesman,weeks,england,miles,dummy bombs,mm ammunition
134,label,second crash,britain,u.s. air force a-10 attack jet,routine training flight,pilot,a-10 aircraft,suspension,,,,,,,,,,,,,
135,multipartiterank,eclipse,travel agents,hawaii,sun,moon slip,mexico,airline seats,daniel dei rossi,available,shadow,moon,baja,san jose,path,sky,people,rental cars,totality,viewers,central brazil
135,label,solar eclipse,total eclipse,eclipse-watchers,mexico city,hawaii,special mylar viewers,,,,,,,,,,,,,,
136,multipartiterank,fire crews,firefighters,lake elsinore,blaze,fire,riverside county,authorities,brush fire,structures,rugged terrain,acres,antelope valley,late friday afternoon,officials,homes,people,wind,rugged,wednesday evening,ortega highway
136,label,brush fire,cleveland national forest,fire crews,firefighters,investigators,blaze,damage,,,,,,,,,,,,,
137,multipartiterank,ferocious hurricanes,intense hurricanes,atmospheric pressure,catastrophic storm,hurricanes,atlantic,gray,50s,tropical disturbances,caribbean,gulf,powerful punches,hugo,wind speed,gilbert,possible return,millibars,year,low latitudes,hurricane patterns
137,label,intense hurricanes,atlantic region,hurricane patterns,meteorologist william gray,ferocious hurricanes,catastrophic storm,atmospheric conditions,,,,,,,,,,,,,
138,multipartiterank,exxon,charge,costs,spill,fourth quarter,year,new york,net income,analysts,quarter charge,earnings,oil,exxon spokesman william smith,addition,wednesday,state,gallons,accounting methods,company,estimate
138,label,exxon corp.,massive alaskan oil spill,expensive environmental disaster,tanker exxon valdez,lower net income,revenue,total cleanup costs,financial effect,exxon valdez accident,valdez cleanup,cleanup charge,valdez spill,,,,,,,,
139,multipartiterank,white house,clinton administration,nafta,job losses,favourable constituent mail,vote,north american free trade agreement,democrats,continent,undecided congressman,communities,state,business leaders,projects,support,north american development bank,republicans,favour,reason,administration
139,label,north american free trade agreement,north american development bank,job losses,pro-nafta votes,undecided congressman,anti-nafta public opinion,house vote,president bill clinton,pro-nafta campaign,clinton administration,,,,,,,,,,
140,multipartiterank,department policy,department,people,policing,unusual order,block,employees,criticism,last week,level,communities,cities,independent commission,large sheriff,years,police chief daryl gates,social reasons,finest law enforcement agencies,racism,brutality
140,label,police brutality,racism,rodney king,public criticism,inadequate discipline,investigation,police reform,,,,,,,,,,,,,
141,multipartiterank,drought,farm empire,years,farm,crops,nation,drought region,detailed income,states,heat,federal payments,commodity prices,usda,report,bad,agriculture department analysis,vast part,annual farm costs,livestock,information
141,label,agriculture department analysis,severe drought region,federal payments,solvency position,federal disaster relief,emergency drought aid,1988 drought,favorable financial position,commodity market prices,,,,,,,,,,,
142,multipartiterank,years,devastating storms,forceful hurricanes,atlantic hurricane season,forecasters,years past,storms,normal rainfall,hurricanes,frequent,hugo,gilbert,batch,season,least,last,destructive atlantic hurricanes,decades,sahel,hint
142,label,atlantic hurricane season,forceful hurricanes,devastating storms,dr. william gray,below-average hurricane season,forecasters,intense hurricanes,,,,,,,,,,,,,
143,multipartiterank,osman morote,morote,police,shining path,abimael guzman,top military leader,maoist rebel group,officials,year guerrilla war,guzman,andean highlands,radical leader,peru,capture,monday,counterinsurgency sources,terrorists attacks,house,javier palacios,lives
143,label,peru,osman morote,top military leader,maoist rebel group,counterinsurgency police,morote's capture,radical leader,shining path movement,eight-year guerrilla war,,,,,,,,,,,
144,multipartiterank,johnson,brief race,seconds,race,time,slow start,daron council,ben knows track,department,positive test,record crowd,olympics,sheriff,year suspension,north america,europe,countries,fans,alachua county,journalists
144,label,johnson,daron council,record crowd,two-year suspension,second-place finish,slow start,first race,first indoor loss,drug testing,,,,,,,,,,,
145,multipartiterank,charlie francis,francis,ben johnson,johnson,steroids,world record,world,use,federal inquiry,toronto,speed trap,fastest man,olympics,sports,canadian national sprint coach,athletes,system,performance,drugs,famous pupil
145,label,ben johnson,charlie francis,federal inquiry,performance-enhancing drugs,steroid combination,world record,illegal steroid use,steroids,toronto,canadian national sprint coach,gold medal,,,,,,,,,
146,multipartiterank,fire protection,california department,forestry,year,box,trees,lisa boyd,areas,drought,morgan hill ranger unit,rains,brush,mauldin,boyd,santa clara county,homes,california,fire prevention officer dick mauldin,fire season,houses
146,label,fire protection,fire season,heavy fuel,u.s. forest service,national forests,fire threat,firefighting efforts,wildfire precautions,fire prevention unit,california department,,,,,,,,,,
147,multipartiterank,hurricane expert,william gray,fiercer storms,year,gray,hurricanes,atlantic ocean,turbulent summer,average,hurricane seasons,last,populated areas,wind,friday,active period,seas,storms,impossible,professor,atmospheric science
147,label,atlantic hurricanes,hurricane expert,william gray,atlantic ocean,storms,hurricane seasons,annual hurricane forecasts,turbulent summer,,,,,,,,,,,,
148,multipartiterank,seats,house,illegal aliens,census,california,states,georgia,house seats,population expert,way,policy studies,sides,groups,virginia,changes,wednesday,representatives,midwest members,northeast,number
148,label,illegal aliens,1990 census,census bureau,national head count,house seats,,,,,,,,,,,,,,,
149,multipartiterank,governors,welfare,bodied welfare recipients,plan,job,washington,welfare reform,years,white house,administration,president,welfare recipients,disagreement,benefits,able,maintenance system,day care,training,exchange,nation
149,label,welfare reform,welfare system,welfare recipients,reform programs,president reagan,reform consensus,,,,,,,,,,,,,,
150,multipartiterank,miami,subsequent hurricanes,legendary storms,mph winds,hurricane specialists,hurricanes,small one,scientists,wind speed,year,storms,national hurricane center,water,mph,specialists,city,hours,last,disturbance,computer model
150,label,hurricane season,miami,hurricane specialists,tropical depressions,long-term hurricane forecasting,tropical storms,national hurricane center,,,,,,,,,,,,,
151,multipartiterank,newest diamond mine,venetia,global diamond markets,de beers,mine,south africa,production,cent,year,ore,cso,output,diamonds,quotas,tonnes,mr hans gastrow,botswana,day working,gem stones,time venetia
151,label,global diamond markets,central selling organisation,diamond cartel,rough gem diamond output,turbulence,south african diamond mine,venetia,de beers,russian exports,,,,,,,,,,,
152,multipartiterank,sun,solar eclipses,moon,shadow,eclipses,path,astronomical observatories,baja california,observatories,earth line,hawaii,world,year,miles wide,astronomers,mauna kea,stars,shaggy corona hanging,times,orbit
152,label,solar eclipses,sun,shadow,total eclipses,eclipse studies,solar scientists,mexico city,hawaii,,,,,,,,,,,,
153,multipartiterank,texas congressman mickey leland,plane,crash site,search crews,leland,helicopter,days,sunday,addis ababa,ethiopians,last monday,site,american embassy,aides,wreckage,search,ackerman,discovery,crew,miles
153,label,crash site,fugnido refugee camp,heavy weather,texas congressman mickey leland,wreckage,rescue operations,twin-engine twin otter,american helicopters,,,,,,,,,,,,
154,multipartiterank,police chief,herminio taylo,assassins,capital area,police,taylo,major financial center,makati,col,communist rebels today,rebel new people,10th soldier,street violence,lydio zeta,caliber pistols,philippines,public market,army,escalation,manila
154,label,political assassination,communist rebels,philippines,col. herminio taylo,assasination attempts,rebel assassins,police chief,street violence,makati,gunmen,rebel new people's army,,,,,,,,,
155,multipartiterank,cleanup,exxon valdez oil spill,related developments,chronology,,,,,,,,,,,,,,,,
155,label,exxon valdez oil spill,chronology,cleanup,developments,,,,,,,,,,,,,,,,
156,multipartiterank,thomas,senate today,chairman,critic,liberal,nomination,equal employment opportunity commission,last minute,federal appeals judge,record,danforth,senior citizens groups,complaints,affirmative action,aging,discrimination cases,senate,nominee,quotas,pryor
156,label,clarence thomas,federal appeals judge,black officials,u.s. circuit court,nomination,columbia,senate,,,,,,,,,,,,,
157,multipartiterank,clarence,virginia thomas,clarence thomas,lifespring,religious leaders,women,rights activists,worth legislation,comparable,former involvement,good,issues,organization,skin color,blacks,department,husband,marriage,roots,white
157,label,clarence thomas,virginia thomas,supportive spouse,supreme court,affirmative action,conservative viewpoint,nomination,senate confirmation hearings,criticism,,,,,,,,,,,
158,multipartiterank,aircraft,pilot,hahn air base,air force spokeswoman,flight crash,west german police,accident,50th tactical fighter wing,al sattler,crash,black forest,f-16,miles,capt,planes,populated area,sattler,gail hayes,telephone interview,less
158,label,crashes,in-flight crash,u.s. air force,f-16 fighter jets,pilots,f-16s,bodenheim,training mission,aircraft,,,,,,,,,,,
159,multipartiterank,slovenia,per cent,yugoslavia,cent,exports,croatia last year,markets,slovene enterprises,european community countries,war,electrical goods maker,former yugoslavia,dollars,mr feri horvath,former republics,slovene imports,alternative trading partners,electronic,french car manufacturer,inflation
159,label,slovene enterprises,slovene officials,capital inflows,slovenia,former yugoslavia,slovene exports,independence,foreign investment,trade links,european community countries,,,,,,,,,,
160,multipartiterank,japan,imminent earthquake,prediction believers,tokai area,area,earthquake,general earthquake prediction research,significant quake,coastal tokai region,public,world,precursors,tokyo,tectonic plates,tokai section last,prediction,scientists,year,unusual phenomena,committee
160,label,japan,coastal tokai region,seismic activity,imminent earthquake,richter scale,general earthquake prediction research,tokai earthquake,earthquake warning,,,,,,,,,,,,
161,multipartiterank,exxon valdez,crippled ship,oil contamination,birds,frank iarossi,coast guard regulations,sea otters,pristine prince william sound,efforts,ship,choppy waters,oil,iarossi,exxon,tanker,unqualified mate,separate accidents,wildlife experts,sunday,fears
161,label,oil spill,exxon valdez spill,unqualified mate,exxon shipping co.,long beach-bound tanker,oil contamination,pilot,investigation,environmental conservation,coast guard regulations,separate accidents,cleanup efforts,federal disaster,,,,,,,
162,multipartiterank,severe damage,insurers,southern florida,dollars 1bn,louisiana,miles,city,yesterday,florida,new orleans,damage,hurricane andrew,storm,monday,hurricane,lloyd,west,landfall,senior member,losses
162,label,hurricane andrew,louisiana,severe damage,new orleans,tropical storm,uninsured losses,landfall,,,,,,,,,,,,,
163,multipartiterank,race,hale,paul davies,davies,chicago marathon,lisa weidenbach,men,seconds,women,miles,heat,weidenbach,steady runners,last year,time,lead pack,chicago history,marathon sunday,patient,old style
163,label,chicago marathon,windy weather,distance runners,patient,steady runners,second-hottest race,race conditions,,,,,,,,,,,,,
164,multipartiterank,court,thomas,abortion,rights pioneer,views,marshall,affirmative action,year,unknown,confirmation process,democratic senators,nomination,federal appeals court judge,position,opposition,box,civil,monday,racial preferences,senate
164,label,clarence thomas,second black,supreme court,thurgood marshall,nomination,affirmative action,racial preferences,,,,,,,,,,,,,
165,multipartiterank,path,first actions,war,military dictatorship,insurgency,years,peru,liberal approach,human rights,emergency laws,armed forces,actions,cautious,rights offenders,security matters,modest,next president,progress,dialogue,population
165,label,shining path,alberto fujimori,peru,next president,democratic legality,emergency laws,armed forces,president garcia,,,,,,,,,,,,
166,multipartiterank,first major hurricane,bob sheets,director,sheets,national hurricane center,hurricanes,beat tuesday,destructive hurricane gilbert,interviews,force winds,questions,multitude,reporters,large monitor,storm,gilbert,category,march,winds,atlantic hurricane season
166,label,destructive hurricane gilbert,national hurricane center,bob sheets,atlantic hurricane season,western caribbean,hurricane headquarters,catastrophic damage,,,,,,,,,,,,,
167,multipartiterank,officer,barnes,police force,apartment,police,innocent man,racism,death,year,white,greg mills,excessive force,bishop,shooting,drunken driving,bedroom,good,department,black clergyman,allegations
167,label,police force,brutality,racism,accidental shooting death,excessive force,terry barnes,black citizens,,,,,,,,,,,,,
168,multipartiterank,jwaneng mine,richest diamond mine,old mines,world,open pit,jwaneng,years,de beers,botswana,metres deep,finsch,cent,diamonds,company,carats,gem,south african group,underground development,value,kimberley
168,label,jwaneng mine,south african group,diamond output,world diamond production,central selling organisation,diamond mines,underground mine,russian exports,botswana,wholly-owned finsch mine,de beers,,,,,,,,,
169,multipartiterank,tuberculosis,aids virus,percent increase,tb infection,tb cases,victims open,snider,disease control,americans,health officials,persons,aids,immune system,percent,centers,lung health,year,contagious disease,director,doctors
169,label,new health threats,aids virus,tuberculosis,disease control,lung disease,tb cases,,,,,,,,,,,,,,
170,multipartiterank,clarence thomas,thomas,black children,united states supreme court,nominee,young clarence,civil rights,eyed grandfather,catholic school uniform,segregated black georgia,republican presidents,scholarship,abortion rights,yale university law school,black savannah,southern poverty,decades past,sharecropping,black conservative,nuns
170,label,clarence thomas,hard-eyed grandfather,supreme court nominees,senate confirmation,affirmative action programs,thomas sowell,u.s. court,black conservative,,,,,,,,,,,,
171,multipartiterank,diabetes,hispanics,mcnamara,neighborhood diabetes programs,percent,fat diet,people,exercise,spanish,diabetes society,diet,indians,many hispanics,high,medication,vulnerable,strong american indian ancestry,participants,obesity,ways
171,label,diabetes society,high-fat diet,hispanics,diabetes management program,exercise,contracting diabetes,,,,,,,,,,,,,,
172,multipartiterank,eclipse fans,eclipse,mexico,sun,big island,hawaii,baja california,island,new york,japan,thousands,californians,box,tourists,baja,crowded cruise ships,protection,people,nature,pacific coast
172,label,total eclipse,sun,hawaii,mexico,eclipse fans,eye damage,visitors,tourism,,,,,,,,,,,,
173,multipartiterank,giant de beers diamond organization,london,diamond cartel,monopoly,south africa,de beers,office,central selling organization,consolidated gold fields plc,fair trading,interested,complaint,minorco sa,company,investigation,takeover bid,percent,mergers commission,watchdog body,tuesday
173,label,de beers diamond organization,fair trading,anti-competitive practices,london-based diamond cartel,south africa,world diamond trading,defensive move,luxembourg-based minorco sa,central selling organization,investigation,,,,,,,,,,
174,multipartiterank,ben johnson,steroids,carl lewis,johnson,lewis,substance,reporters,legislation,mel levine,world,positive,class sprinter,wrong,abuse,gold medal,field,anabolic steroids,track,high school,news conference
174,label,ben johnson,world-class sprinter,seoul,gold medal,canadian,anabolic steroids,controlled substance,,,,,,,,,,,,,
175,multipartiterank,diamonds,diamond prices,dealers,de beers,years,market,world diamond market,japanese imports,diamond sales,carat,first,dealers several months,quality,london,antwerp,diamond dealers,rise,average,demand,central selling organization
175,label,de beers consolidated mines ltd.,diamond prices,south african concern,world diamond market,london-based central selling organization,diamond price increase,diamond dealers,diamond jewelry market,world diamond production,diamond sales,,,,,,,,,,
176,multipartiterank,british cattle population,disease,bse,cattle,animals free,maff,cow madness,ministry,farming industry,ban,magazine farmers weekly,british agriculture,last week,british government scientists,feed,sheep,humans,infection,animals,magazine estimate
176,label,mad cow disease,bse case,maternal transmission,diseased sheep,disease scrapie,british agriculture,british beef imports,infected feed,,,,,,,,,,,,
177,multipartiterank,enquirer,articles,miss taylor,condition,good faith reliance,information,error,activities,iain calder,inaccurate,pneumonia,june,hospital,santa monica,medical records,last spring,actress,medical condition,management,enquirer editor
177,label,miss taylor,actress,lawsuit,enquirer,st. john's hospital,pneumonia,medical condition,,,,,,,,,,,,,
178,multipartiterank,diamond mine,diamond business,river limpopo,carats,de beers,river ranch,zimbabwe,dollars,mr robin baxter,brown,mine,diamonds,south african group,site,mr baxter,years,zimbabwe government,southern border,deposit,minerals
178,label,diamond business,diamond mines,zimbabwe government,diamond exploration experience,joint venturers,exclusive exploration rights,central selling organisation,diamond trade,diamond deposit,river ranch,south african group,,,,,,,,,
179,multipartiterank,tornadoes,worst years,frederick ostby,flooding,storms,ostby,record,fewer deaths,first,year,kansas,southern sections,nation,national severe storms forecast center,months,deaths,computer forecasts,middle,july,warning
179,label,tornadoes,tornado trends,flooding,storms,damage,deaths,study,,,,,,,,,,,,,
180,multipartiterank,slar eclipse,mexico,sun worship,astronomers,eclipse,states,path,july,sun,century,day next year,tourists,baja california sur,level commission,moon,day,populous regions,least,total solar eclipse,year
180,label,total solar eclipse,partial eclipse,slar eclipse,moon,eclipse path,mexico,tourists,,,,,,,,,,,,,
181,multipartiterank,president reagan,welfare reform,welfare,president,union address last january,poverty,state,years,governors,congress,democrats,public,many,plans,poor families,welfare programs,welfare dependency,convincing message,americans,immediate action
181,label,welfare reform,president reagan,federal government,americans,welfare programs,welfare dependency,,,,,,,,,,,,,,
182,multipartiterank,incumbent,limits,year,house districts,congress,term,latest mailing,voters,senate,times,south dakotans,new ideas,unfair campaign finance laws,office,polls,major scandal,legislative arrogance,problems,pieces,unfair advantage
182,label,term limitation,limit congressional terms,house incumbents,opinion polls,congressional careerism,constitutional amendment,legislative arrogance,unfair advantage,unfair campaign finance laws,voluntary service limitation,,,,,,,,,,
183,multipartiterank,guns,brady bill,long years,gun control,nra,us congress,government,republican senators,weapons,law,sales,criminals,people,week,gun owners,new,first significant gun control law,mr james brady,assassinations,many new members
183,label,gun control law,brady bill,complete ban,us congress,gun purchase,restriction,gun ownership,,,,,,,,,,,,,
184,multipartiterank,forest fire developments,brief look,western states,,,,,,,,,,,,,,,,,
184,label,forest fire developments,western states,firefighters,,,,,,,,,,,,,,,,,
185,multipartiterank,earthquake survival classes,quake insurance,people,several days,quakes,fault line,prediction,new madrid fault,year,thousands,mississippi valley,december,schools,california,survival kits,businesses,arkansas,day,bay area last october,earthquakes
185,label,new madrid fault,earthquake survival classes,quake insurance,prediction methods,earthquake expert,earthquake preparedness,national earthquake prediction evaluation cuncil,federal emergency help,,,,,,,,,,,,
186,multipartiterank,national parks,fire,yellowstone,parks,nature,blazes,last year,forest,management policies,bob barbee,impact,year,last summer,stately lodgepole pines,tourist havens,policy,new life,spring,media,suppression efforts
186,label,yellowstone park fires,yellowstone national park reforestation,natural fires,human-caused fires,lightning fire,firefighting crews,destructive blazes,firefighting efforts,lodgepole pines,fire ecology,,,,,,,,,,
187,multipartiterank,police chief,chief gates,officers,police,los angeles,year,chief,public statements,gang,brutality,idealistic young people,conflict,rodney king,community,gang members,special unit,department,neighborhoods,crime,hard
187,label,police brutality,rodney king incident,excessive force,lapd brutality,los angeles,,,,,,,,,,,,,,,
188,multipartiterank,percent,aids,tuberculosis,cdc,higher rates,hispanics,blacks,whites,number,serious illnesses,average annual decrease,americans,new tuberculosis cases,tb patients,fewer tb cases,tb treatment,body susceptible,disease control,thursday,aids cases
188,label,steady decline,tuberculosis cases,aids cases,disease control,complete statistics,,,,,,,,,,,,,,,
189,multipartiterank,slovenia,yugoslavia,relations,slovene capital,yugoslav diplomats,belgrade,foreign affairs,statements,minister,normalization,milan kucan,attitudes,yugoslav newspapers,contacts,information,lojze peterle,extreme policy,ljubljana,signal,states
189,label,yugoslav diplomats,federal republic,slovene government,slovene politicians,possible political contacts,anti-serbian campaign,slovene independence,normalization,official slovene delegation,official belgrade,slovene attitude,,,,,,,,,
190,multipartiterank,last year,fire season,week,acres,dry august,sandi sacher,fire,officials,years,range land,forest,western wildfires,natural part,idaho,monday,yellowstone national park,sacher,drought,record,west
190,label,western wildfires,record-breaking fire season,contiguous united states,firefighters,blazes,fire danger,dry weather,,,,,,,,,,,,,
191,multipartiterank,pizarro,third presidential candidate,assassination,government,colombia,friday,police,next month,several cities,drug traffickers,thursday,men,medellin drug cartel,cardinal alfonso lopez trujillo,killing,cartel,telefaxed communique,responsibility friday,liberal party,election
191,label,assassinations,drug traffickers,medellin drug cartel,presidential candidate carlos pizarro,terrorist acts,cocaine cartels,colombia,election,pizarro's assassination,,,,,,,,,,,
192,multipartiterank,police,john laux,officers,city,problem,department,progressive attitude,drug raid,laux,blacks,downtown hotel,police racism,civil rights,van hayden,scuffle,minneapolis,recent protests,breaking point,racial harmony,image
192,label,police racism,brutality,civil rights,racial harmony,drug raid,police misconduct,,,,,,,,,,,,,,
193,multipartiterank,forest fire,fire,dale smallwood,smallwood,arson,mark twain national forest,missouri,year,forest service,people,forest,regional traditions,criminal investigator,arsonists,ron mcdonald,acres,woods,areas,problem,case
193,label,forest fires,criminal investigator,investigations,passing truck,missouri,arsonist,arson problem,,,,,,,,,,,,,
194,multipartiterank,term limits,politics,white incumbents,congress,liberal democrats,many people,california democratic party,office,prominent democrats,incumbency,time fund,home state,washington state,legislative staff,authors,career incumbents,power,reason,idea,national journal
194,label,term limits,term limit measure,political system,california initiative,career incumbents,liberal democrats,american politics,special u.s. house election,democratic officeholders,,,,,,,,,,,
195,multipartiterank,diamonds,de beers,time,market,cso,angola,dollars,successful cartel,cent,rough,soggy demand,prices,canada,years,cartel,world,diamond business,river levels,way,gem quality
195,label,world diamond business,rough diamond production,diamond market,diamond sales,london-based central selling organisation,diamond prices,diamond cartel,canada,greedy rush,first diamond mine,diamond hunters,,,,,,,,,
196,multipartiterank,state statutes,court,candidates,limit initiative,state,term limits,incumbents,decision,year,term,constitution,congress,party,associational rights,voter choice,next month,office,bar first,new mexico law,registration fee
196,label,term limits,term limitations,congressional officeholders,u.s. house members,new term-limit law,fair election system,house incumbents,congressional regulation,constitution,supreme court,,,,,,,,,,
197,multipartiterank,hispanics,diabetes,exercise classes,nutrition,torres,classes,effort,times,food,diabetic society,dangers,incidence,taste,state health department statistics,hispanic diabetics,terms,courses,health experts,general population,education director
197,label,hispanic diabetics,diabetes society,hispanic lifestyle,hispanic diet,health professionals,good nutrition,education director,,,,,,,,,,,,,
198,multipartiterank,steroids,johnson,ben johnson,olympic gold medal,astaphan,olympics,world sprint record last summer,rome,jamie,runner,sunday,positive,seoul,toronto star newspaper,interview,knowledge,charlie francis,drug,muscle,world record
198,label,ben johnson,canadian olympic sprinter,angella issajenko,olympic gold medal,steroid stanozolol,illegal drugs,100-metre sprint,,,,,,,,,,,,,
199,multipartiterank,johnson,sport,ben johnson,world record,meet,athlete,drugs,assistant meet director,people,years,indoor,track,al franken,lot,meters,public,big money promoters,performance,field,anabolic steroids
199,label,ben johnson,anabolic steroids,seoul olympics,suspension,performance-enhancing drugs,world record-holder,expectation,news conference,drug tests,hamilton spectator indoor games,,,,,,,,,,
200,multipartiterank,mad cow,british beef industry,disease,ban,britain,cattle,west germany,bse,france,british officials,british beef,domestic beef sales,french,trade friction,british government,cows,health fears,beef exports last year,meat,concern
200,label,mad cow disease,trade friction,bovine spongiform encephalopathy,bse-infected cows,germany import ban,british beef imports,health fears,,,,,,,,,,,,,
201,multipartiterank,peace proposal,path leadership,october,document,path leader abimael guzman,lengthy statement,president alberto fujimori,la republica,summary,january supplement,guzman,letters,authentic call,government,paper,peace talks,insurgents last fall,peace,fujimori,shining path
201,label,imprisoned shining path leader abimael guzman,genuine shining path statement,peace proposal,peace agreement,peace talks,political defeat,government representatives,anti-fujimori daily,shining path peace strategy document,,,,,,,,,,,
202,multipartiterank,slovenia,slovenian fears,army,croatia,secessionist republic,statement,earlier saturday evening,yugoslavia,election,president,stipe mesic,state,government,independence declarations,federal official,day,slovenian capital,plan,cease,fire
202,label,slovenian fears,federal troops,breakaway republics,slovenian defense forces,yugoslav army,slovenian independence,federal army operations,independence declarations,western-brokered cease-fire,croatia,slovenia,serbia,yugoslav republic,,,,,,,
203,multipartiterank,slovenia,serbia,friday,northern republic,rally,yugoslav federation,economic contacts,yugoslavia,slovenian authorities,decision tuesday,slovenian presidency,political,liberal,statement,serbian action tuesday,line communist leadership,ljubljana,people,republics,regional autonomy
203,label,slovenian presidency,economic contacts,serbian action,yugoslav federation,pro-serbian rally,economic boycott,hard-line communist leadership,regional autonomy,slovenian serbian conflict,,,,,,,,,,,
204,multipartiterank,johnson,national hero ben johnson,drugs,canada,canadians,ben,olympic gold medal,international olympic committee,tuesday,charest,anabolic steroids,sprinter,calgary,national sports fans,performance,athletics commission,recent months,brother,tests,los angeles kings
204,label,ben johnson,canadians,olympic gold medal,sprinter,anabolic steroids,drug scandal,disappointed nation,american carl lewis,,,,,,,,,,,,
205,multipartiterank,tanker exxon valdez,oil spill,oil,exxon crews tuesday,crude oil,exxon,valdez,ship,spill,vessel,preparation,worst,fugitive captain,alaska,sea otters,monday,nation,gallons,boom,hours
205,label,worst-ever oil spill,exxon crews,crude oil,tanker exxon valdez,oil-catching boom,joseph hazelwood,annual herring industry,criminal charges,,,,,,,,,,,,
206,multipartiterank,former national bank,slovenia,debts,nby,dollars,yugoslavia,relations,foreign exchange deposits,slovene citizens,negotiations,banks,years,officials,central bank,independence,issue,mr marko kranjec,deposits,share,croatia
206,label,national bank of yugoslavia,foreign creditors,independence,foreign exchange deposits,slovene banks,slovene citizens,federal government,yugoslavia,slovene banks,unallocated federal debt,negotiations,,,,,,,,,
207,multipartiterank,suspect,officer,police report,police brutality,citizens,bad public policy,complaint,public,investigation,macnamara,code,accountable,problems,government,organizational attitude,police discipline system,communities,silence,right,leadership
207,label,police brutality,police misconduct,police abuse,injuries,brutality complaints,santa clara,,,,,,,,,,,,,,
208,multipartiterank,assassination,colosio,mexican counterpart salinas,colombian government,gmt,presidential candidate,mar,people,spanish,mexican government,gortari,news media,today,prensa latina,lorenzo menendez,arena,hamburg dpa,condolences,colosio family,baja california
208,label,presidential candidate luis donaldo colosio,mexican government,sympathy,reactions,colombian government,pri,assassination,mexican president carlos salinas,antidemocratic forces,,,,,,,,,,,
209,multipartiterank,nra,dealers outlet gun store,assault weapons,deconcini,gun,red letters,control bills,ak-47 assault rifles,suburban phoenix,bills,life member,years,hammer,gun ban,semiautomatic gun,congress,legislation,gun control,front window,james jay baker
209,label,gun ban,gun control,constitutional right,gun-control bills,gun-control measures,firearms,deconcini,gun lobby,nra,,,,,,,,,,,
210,multipartiterank,steady rain monday afternoon,smaller fires,shoshone national forest,acres,fire,blaze,firefighters,yellowstone national park,crews,rain,spokesman dale bluedorn,wyoming,hours,rainfall,day fire,inch,bluedorn,quarter,control monday,national forest
210,label,forest fire,steady rain,wyoming,illegal fireworks,firefighters,wildfires,blaze,,,,,,,,,,,,,
211,multipartiterank,judge,law,equal rights,americans,people,constitutional law,law school speculation,man,blacks,society,problems,life,years,first supreme court nominee,constitution,clarence thomas,actual victims,grandfather,president bush,difference
211,label,clarence thomas,mr. Thomas,supreme court nominee,minorities,judge,columbia circuit,judicial conservatism,,,,,,,,,,,,,
212,multipartiterank,de beers,diamonds,dealers,diamond market,international tin cartel,world,sales,diamond prices,cartel,years,uncut,south african concern,average,carats,organization,south africa,australia,rough,zaire,expensive diamond engagement rings
212,label,uncut-diamond market,rough-diamond prices,diamond producers,diamond trade,world diamond markets,promotion campaign,world diamond production,de beers consolidated mines ltd.,south african concern,diamond jewelry,de beers campaign,,,,,,,,,
213,multipartiterank,coca,guerrillas,poor farmers,army,path,upper huallaga valley,farmers,communities,drug trafficking,upper huallaga,rebels,aucayacu,region,small town,jungle,drugs,government,coca paste,valley,area
213,label,shining path,coca farmers,upper huallaga valley,guerrillas,peruvian anti-drug campaign,emergency control,coca growers,drug trafficking,anti-drug police,,,,,,,,,,,
214,multipartiterank,crude oil,biggest oil spill,alaska,prince william sound,oil,ocean saturday,coast guard,spill,miles long,gallons,tanker exxon valdez,cleanup efforts,vessel,tanker,valdez,reef island,dennis kelso,sound,slick,richard golob
214,label,u.s. tanker spill,987-foot tanker exxon valdez,oil spill,major environmental catastrophe,cleanup equipment,crude oil,cleanup efforts,alaska,,,,,,,,,,,,
215,multipartiterank,aids virus,people,drug abusers,tuberculosis bacteria,study,high risk,hiv,bacteria,recent years,doctors,aids,tuberculosis infections,percent life,medicine,new exposures,activation,tuberculosis,drug addicts,tb bacteria,percent
215,label,aids virus,drug abusers,tuberculosis bacteria,medicine,drug addicts,tuberculosis infections,,,,,,,,,,,,,,
216,multipartiterank,de beers diamond empire,rough diamonds,de beers,central selling organization,percent,year,organization,south africa,marketing arm,londoners,world,wealthy oppenheimer family,important diamond producer,sales,old cartel,digit price increases,producers better terms,diamonds,value,experts
216,label,de beers diamond empire,central selling organization,diamond business,world diamond industry,south african interests,diamond producer,rough diamond sales,,,,,,,,,,,,,
217,multipartiterank,illegal aliens,census,states,house,constitution results,citizens,aliens,bills,large numbers,country,census bureau,seats,equal,undocumented residents,constitutional,ridge,purposes,counts,times,persons
